Length: 70.0
Width: 65.0
Thickness: 0.2
Parameters: [(u'sphylinder_projection', (5.0, 5.0, 0.0, 5.8000000000000007, 3.0, 0.90000000000000002), u'Hard'), (u'sphylinder_projection', (15.0, 5.0, 90.0, 5.8000000000000007, 3.0, 0.90000000000000002), u'Hard'), (u'sphylinder_projection', (15.0, 15.0, 0.0, 5.8000000000000007, 3.0, 0.90000000000000002), u'Hard'), (u'sphylinder_projection', (5.0, 15.0, 90.0, 5.8000000000000007, 3.0, 0.90000000000000002), u'Hard')]
Displacement Force P1-x P1-y P2-x P2-y P4-x P4-y P3-x P3-y
0.000000000000000000e+00 -0.000000000000000000e+00 3.022204208374023438e+01 1.998030090332031250e+01 3.992217254638671875e+01 2.993105125427246094e+01 1.997913360595703125e+01 3.007458496093750000e+01 3.003474998474121094e+01 3.991479873657226562e+01
1.400000005960464478e-01 3.606078624725341797e-01 3.022201728820800781e+01 2.003775215148925781e+01 3.992129898071289062e+01 3.000049018859863281e+01 1.997997665405273438e+01 3.014513587951660156e+01 3.003495407104492188e+01 3.999712753295898438e+01
2.800000011920928955e-01 7.138510346412658691e-01 3.022199249267578125e+01 2.009519195556640625e+01 3.992042922973632812e+01 3.006992912292480469e+01 1.998081398010253906e+01 3.021568679809570312e+01 3.003515815734863281e+01 4.007947540283203125e+01
4.199999868869781494e-01 1.059910178184509277e+00 3.022196960449218750e+01 2.015261650085449219e+01 3.991956710815429688e+01 3.013936614990234375e+01 1.998164558410644531e+01 3.028623771667480469e+01 3.003536033630371094e+01 4.016184234619140625e+01
5.600000023841857910e-01 1.398977160453796387e+00 3.022194862365722656e+01 2.021002578735351562e+01 3.991870880126953125e+01 3.020880126953125000e+01 1.998247337341308594e+01 3.035678863525390625e+01 3.003555870056152344e+01 4.024422836303710938e+01
6.999999880790710449e-01 1.731231808662414551e+00 3.022192764282226562e+01 2.026742362976074219e+01 3.991785812377929688e+01 3.027823638916015625e+01 1.998329544067382812e+01 3.042733764648437500e+01 3.003575706481933594e+01 4.032662963867187500e+01
8.399999737739562988e-01 2.056848287582397461e+00 3.022190856933593750e+01 2.032480621337890625e+01 3.991701126098632812e+01 3.034766960144042969e+01 1.998411178588867188e+01 3.049788856506347656e+01 3.003595352172851562e+01 4.040904998779296875e+01
9.800000190734863281e-01 2.375995397567749023e+00 3.022188949584960938e+01 2.038217544555664062e+01 3.991616821289062500e+01 3.041710281372070312e+01 1.998492431640625000e+01 3.056843757629394531e+01 3.003614807128906250e+01 4.049148559570312500e+01
1.120000004768371582e+00 2.688836097717285156e+00 3.022187232971191406e+01 2.043953132629394531e+01 3.991533279418945312e+01 3.048653602600097656e+01 1.998573112487792969e+01 3.063898658752441406e+01 3.003634262084960938e+01 4.057394027709960938e+01
1.259999990463256836e+00 2.995528459548950195e+00 3.022185516357421875e+01 2.049687194824218750e+01 3.991450119018554688e+01 3.055596733093261719e+01 1.998653221130371094e+01 3.070953369140625000e+01 3.003653335571289062e+01 4.065641403198242188e+01
