Length: 70.0
Width: 65.0
Thickness: 0.2
Parameters: [(u'sphylinder_projection', (5.0, 5.0, 0.0, 3.0, 5.4000000000000004, 0.90000000000000002), u'Hard'), (u'sphylinder_projection', (15.0, 5.0, 90.0, 3.0, 5.4000000000000004, 0.90000000000000002), u'Hard'), (u'sphylinder_projection', (15.0, 15.0, 0.0, 3.0, 5.4000000000000004, 0.90000000000000002), u'Hard'), (u'sphylinder_projection', (5.0, 15.0, 90.0, 3.0, 5.4000000000000004, 0.90000000000000002), u'Hard')]
Displacement Force P2-x P2-y P4-x P4-y P1-x P1-y P3-x P3-y
0.000000000000000000e+00 -0.000000000000000000e+00 3.988274002075195312e+01 3.007595062255859375e+01 1.999587440490722656e+01 3.012273979187011719e+01 3.009395217895507812e+01 1.997173309326171875e+01 2.990287590026855469e+01 3.997408676147460938e+01
1.400000005960464478e-01 3.180463016033172607e-01 3.988134765625000000e+01 3.014641761779785156e+01 1.999744033813476562e+01 3.019275856018066406e+01 3.009401702880859375e+01 2.002784347534179688e+01 2.990274810791015625e+01 4.005784606933593750e+01
2.800000011920928955e-01 6.304706335067749023e-01 3.987996673583984375e+01 3.021688842773437500e+01 1.999899864196777344e+01 3.026277923583984375e+01 3.009408187866210938e+01 2.008393859863281250e+01 2.990262222290039062e+01 4.014161682128906250e+01
4.199999868869781494e-01 9.373925924301147461e-01 3.987858963012695312e+01 3.028736114501953125e+01 2.000054740905761719e+01 3.033279991149902344e+01 3.009414482116699219e+01 2.014002227783203125e+01 2.990249633789062500e+01 4.022540283203125000e+01
5.600000023841857910e-01 1.238937973976135254e+00 3.987722396850585938e+01 3.035783576965332031e+01 2.000208663940429688e+01 3.040282058715820312e+01 3.009420585632324219e+01 2.019609260559082031e+01 2.990237236022949219e+01 4.030920028686523438e+01
6.999999880790710449e-01 1.535225868225097656e+00 3.987586975097656250e+01 3.042831039428710938e+01 2.000361824035644531e+01 3.047284317016601562e+01 3.009426879882812500e+01 2.025214767456054688e+01 2.990224838256835938e+01 4.039300918579101562e+01
8.399999737739562988e-01 1.826372265815734863e+00 3.987451934814453125e+01 3.049878883361816406e+01 2.000514030456542969e+01 3.054286766052246094e+01 3.009432792663574219e+01 2.030819129943847656e+01 2.990212631225585938e+01 4.047683334350585938e+01
9.800000190734863281e-01 2.112489700317382812e+00 3.987317657470703125e+01 3.056926918029785156e+01 2.000665473937988281e+01 3.061289215087890625e+01 3.009438705444335938e+01 2.036422157287597656e+01 2.990200614929199219e+01 4.056066894531250000e+01
1.120000004768371582e+00 2.393687963485717773e+00 3.987184524536132812e+01 3.063975143432617188e+01 2.000816154479980469e+01 3.068291854858398438e+01 3.009444618225097656e+01 2.042024040222167969e+01 2.990188598632812500e+01 4.064451980590820312e+01
1.259999990463256836e+00 2.670073032379150391e+00 3.987052154541015625e+01 3.071023559570312500e+01 2.000965881347656250e+01 3.075294494628906250e+01 3.009450340270996094e+01 2.047624397277832031e+01 2.990176773071289062e+01 4.072838211059570312e+01
1.399999976158142090e+00 2.941749095916748047e+00 3.986920166015625000e+01 3.078072166442871094e+01 2.001115036010742188e+01 3.082297325134277344e+01 3.009456062316894531e+01 2.053223609924316406e+01 2.990164947509765625e+01 4.081225585937500000e+01
1.539999961853027344e+00 3.208816528320312500e+00 3.986789321899414062e+01 3.085120773315429688e+01 2.001263236999511719e+01 3.089300155639648438e+01 3.009461784362792969e+01 2.058821296691894531e+01 2.990153312683105469e+01 4.089614486694335938e+01
1.679999947547912598e+00 3.471373558044433594e+00 3.986659240722656250e+01 3.092169570922851562e+01 2.001410484313964844e+01 3.096303367614746094e+01 3.009467315673828125e+01 2.064418029785156250e+01 2.990141677856445312e+01 4.098004531860351562e+01
1.820000052452087402e+00 3.729515790939331055e+00 3.986529541015625000e+01 3.099218559265136719e+01 2.001557159423828125e+01 3.103306579589843750e+01 3.009472656250000000e+01 2.070013236999511719e+01 2.990130233764648438e+01 4.106395721435546875e+01
1.960000038146972656e+00 3.983336210250854492e+00 3.986400985717773438e+01 3.106267738342285156e+01 2.001703071594238281e+01 3.110309791564941406e+01 3.009478187561035156e+01 2.075607109069824219e+01 2.990118789672851562e+01 4.114788436889648438e+01
2.099999904632568359e+00 4.232924938201904297e+00 3.986272811889648438e+01 3.113316917419433594e+01 2.001848220825195312e+01 3.117313385009765625e+01 3.009483337402343750e+01 2.081199836730957031e+01 2.990107536315917969e+01 4.123182296752929688e+01
2.240000009536743164e+00 4.478370189666748047e+00 3.986145401000976562e+01 3.120366287231445312e+01 2.001992607116699219e+01 3.124316978454589844e+01 3.009488677978515625e+01 2.086791419982910156e+01 2.990096473693847656e+01 4.131577301025390625e+01
2.380000114440917969e+00 4.719758033752441406e+00 3.986018753051757812e+01 3.127415847778320312e+01 2.002136230468750000e+01 3.131320762634277344e+01 3.009493827819824219e+01 2.092381477355957031e+01 2.990085411071777344e+01 4.139973831176757812e+01
2.519999980926513672e+00 4.957171440124511719e+00 3.985892868041992188e+01 3.134465408325195312e+01 2.002279090881347656e+01 3.138324737548828125e+01 3.009498786926269531e+01 2.097970390319824219e+01 2.990074539184570312e+01 4.148371124267578125e+01
2.660000085830688477e+00 5.190691947937011719e+00 3.985767745971679688e+01 3.141515159606933594e+01 2.002421379089355469e+01 3.145328903198242188e+01 3.009503746032714844e+01 2.103557968139648438e+01 2.990063667297363281e+01 4.156770324707031250e+01
2.799999952316284180e+00 5.420399665832519531e+00 3.985643005371093750e+01 3.148564910888671875e+01 2.002562713623046875e+01 3.152333259582519531e+01 3.009508705139160156e+01 2.109144401550292969e+01 2.990052795410156250e+01 4.165170288085937500e+01
2.940000057220458984e+00 5.646370410919189453e+00 3.985519027709960938e+01 3.155614852905273438e+01 2.002703475952148438e+01 3.159337806701660156e+01 3.009513664245605469e+01 2.114729499816894531e+01 2.990042114257812500e+01 4.173571395874023438e+01
3.079999923706054688e+00 5.868680477142333984e+00 3.985395812988281250e+01 3.162664794921875000e+01 2.002843666076660156e+01 3.166342353820800781e+01 3.009518432617187500e+01 2.120313262939453125e+01 2.990031623840332031e+01 4.181974029541015625e+01
3.220000028610229492e+00 6.087402820587158203e+00 3.985272979736328125e+01 3.169714736938476562e+01 2.002983093261718750e+01 3.173347282409667969e+01 3.009523010253906250e+01 2.125895881652832031e+01 2.990021133422851562e+01 4.190377807617187500e+01
3.359999895095825195e+00 6.302608966827392578e+00 3.985150909423828125e+01 3.176764869689941406e+01 2.003121757507324219e+01 3.180352401733398438e+01 3.009527587890625000e+01 2.131477165222167969e+01 2.990010833740234375e+01 4.198783111572265625e+01
3.500000000000000000e+00 6.514368534088134766e+00 3.985029602050781250e+01 3.183815002441406250e+01 2.003259849548339844e+01 3.187357521057128906e+01 3.009532165527343750e+01 2.137057113647460938e+01 2.990000534057617188e+01 4.207189178466796875e+01
