Length: 70.0
Width: 65.0
Thickness: 0.2
Parameters: [(u'sphylinder_projection', (5.0, 5.0, 0.0, 3.4000000000000004, 5.0, 0.90000000000000002), u'Hard'), (u'sphylinder_projection', (15.0, 5.0, 90.0, 3.4000000000000004, 5.0, 0.90000000000000002), u'Hard'), (u'sphylinder_projection', (15.0, 15.0, 0.0, 3.4000000000000004, 5.0, 0.90000000000000002), u'Hard'), (u'sphylinder_projection', (5.0, 15.0, 90.0, 3.4000000000000004, 5.0, 0.90000000000000002), u'Hard')]
Displacement Force P2-x P2-y P3-x P3-y P4-x P4-y P1-x P1-y
0.000000000000000000e+00 -0.000000000000000000e+00 4.003522491455078125e+01 2.996184730529785156e+01 3.003749275207519531e+01 4.003665161132812500e+01 1.998799514770507812e+01 3.011583900451660156e+01 2.998747253417968750e+01 2.014008331298828125e+01
1.400000005960464478e-01 3.270446062088012695e-01 4.003377151489257812e+01 3.003194808959960938e+01 3.003751182556152344e+01 4.012017822265625000e+01 1.998954582214355469e+01 3.018591690063476562e+01 2.998764801025390625e+01 2.019697189331054688e+01
2.800000011920928955e-01 6.482141613960266113e-01 4.003232574462890625e+01 3.010204887390136719e+01 3.003753089904785156e+01 4.020371627807617188e+01 1.999108505249023438e+01 3.025599479675292969e+01 2.998782348632812500e+01 2.025385093688964844e+01
4.199999868869781494e-01 9.636347293853759766e-01 4.003089141845703125e+01 3.017214965820312500e+01 3.003755187988281250e+01 4.028726577758789062e+01 1.999261474609375000e+01 3.032607460021972656e+01 2.998799705505371094e+01 2.031072044372558594e+01
5.600000023841857910e-01 1.273437857627868652e+00 4.002946853637695312e+01 3.024224853515625000e+01 3.003757095336914062e+01 4.037082290649414062e+01 1.999413490295410156e+01 3.039615440368652344e+01 2.998816871643066406e+01 2.036758232116699219e+01
6.999999880790710449e-01 1.577748656272888184e+00 4.002805328369140625e+01 3.031234550476074219e+01 3.003759002685546875e+01 4.045439147949218750e+01 1.999564552307128906e+01 3.046623802185058594e+01 2.998834228515625000e+01 2.042443275451660156e+01
8.399999737739562988e-01 1.876688718795776367e+00 4.002664566040039062e+01 3.038244247436523438e+01 3.003760910034179688e+01 4.053797149658203125e+01 1.999714469909667969e+01 3.053632164001464844e+01 2.998851203918457031e+01 2.048127555847167969e+01
9.800000190734863281e-01 2.170376062393188477e+00 4.002524948120117188e+01 3.045253944396972656e+01 3.003763008117675781e+01 4.062155914306640625e+01 1.999863433837890625e+01 3.060640716552734375e+01 2.998868179321289062e+01 2.053810882568359375e+01
1.120000004768371582e+00 2.458925485610961914e+00 4.002386093139648438e+01 3.052263259887695312e+01 3.003764915466308594e+01 4.070515823364257812e+01 2.000011444091796875e+01 3.067649269104003906e+01 2.998884963989257812e+01 2.059493255615234375e+01
1.259999990463256836e+00 2.742449045181274414e+00 4.002248382568359375e+01 3.059272766113281250e+01 3.003766822814941406e+01 4.078876876831054688e+01 2.000158500671386719e+01 3.074658203125000000e+01 2.998901748657226562e+01 2.065174865722656250e+01
1.399999976158142090e+00 3.021055459976196289e+00 4.002111434936523438e+01 3.066281890869140625e+01 3.003768920898437500e+01 4.087238693237304688e+01 2.000304603576660156e+01 3.081667137145996094e+01 2.998918533325195312e+01 2.070855331420898438e+01
1.539999961853027344e+00 3.294850349426269531e+00 4.001975250244140625e+01 3.073291015625000000e+01 3.003770828247070312e+01 4.095601654052734375e+01 2.000449752807617188e+01 3.088676261901855469e+01 2.998935127258300781e+01 2.076535034179687500e+01
1.679999947547912598e+00 3.563936948776245117e+00 4.001839828491210938e+01 3.080299949645996094e+01 3.003772735595703125e+01 4.103965759277343750e+01 2.000594139099121094e+01 3.095685768127441406e+01 2.998951530456542969e+01 2.082213783264160156e+01
1.820000052452087402e+00 3.828415155410766602e+00 4.001705551147460938e+01 3.087308883666992188e+01 3.003774642944335938e+01 4.112330627441406250e+01 2.000737380981445312e+01 3.102695274353027344e+01 2.998967933654785156e+01 2.087891578674316406e+01
1.960000038146972656e+00 4.088382720947265625e+00 4.001572036743164062e+01 3.094317436218261719e+01 3.003776741027832031e+01 4.120696640014648438e+01 2.000879859924316406e+01 3.109704780578613281e+01 2.998984146118164062e+01 2.093568611145019531e+01
2.099999904632568359e+00 4.343935012817382812e+00 4.001439285278320312e+01 3.101325988769531250e+01 3.003778648376464844e+01 4.129063796997070312e+01 2.001021575927734375e+01 3.116714668273925781e+01 2.999000358581542969e+01 2.099244499206542969e+01
