Length: 70.0
Width: 65.0
Thickness: 0.2
Parameters: [(u'sphylinder_projection', (5.0, 5.0, 0.0, 3.0, 5.8000000000000007, 0.90000000000000002), u'Hard'), (u'sphylinder_projection', (15.0, 5.0, 90.0, 3.0, 5.8000000000000007, 0.90000000000000002), u'Hard'), (u'sphylinder_projection', (15.0, 15.0, 0.0, 3.0, 5.8000000000000007, 0.90000000000000002), u'Hard'), (u'sphylinder_projection', (5.0, 15.0, 90.0, 3.0, 5.8000000000000007, 0.90000000000000002), u'Hard')]
Displacement Force P1-x P1-y P3-x P3-y P2-x P2-y P4-x P4-y
0.000000000000000000e+00 -0.000000000000000000e+00 2.994795799255371094e+01 1.996980667114257812e+01 3.009776496887207031e+01 4.006630325317382812e+01 4.006925201416015625e+01 3.008985900878906250e+01 1.992005920410156250e+01 2.993178176879882812e+01
1.400000005960464478e-01 3.606083095073699951e-01 2.994800949096679688e+01 2.002720069885253906e+01 3.009776496887207031e+01 4.014899063110351562e+01 4.006843948364257812e+01 3.016043663024902344e+01 1.992089462280273438e+01 3.000125694274902344e+01
2.800000011920928955e-01 7.138519287109375000e-01 2.994806098937988281e+01 2.008457946777343750e+01 3.009776496887207031e+01 4.023169326782226562e+01 4.006763076782226562e+01 3.023101425170898438e+01 1.992172431945800781e+01 3.007073402404785156e+01
4.199999868869781494e-01 1.059911608695983887e+00 2.994811058044433594e+01 2.014194107055664062e+01 3.009776687622070312e+01 4.031441497802734375e+01 4.006682586669921875e+01 3.030159187316894531e+01 1.992254829406738281e+01 3.014021110534667969e+01
5.600000023841857910e-01 1.398978948593139648e+00 2.994815826416015625e+01 2.019928550720214844e+01 3.009777069091796875e+01 4.039714813232421875e+01 4.006602859497070312e+01 3.037216758728027344e+01 1.992336845397949219e+01 3.020969009399414062e+01
6.999999880790710449e-01 1.731234192848205566e+00 2.994820594787597656e+01 2.025661277770996094e+01 3.009777641296386719e+01 4.047990036010742188e+01 4.006523513793945312e+01 3.044274330139160156e+01 1.992418289184570312e+01 3.027916908264160156e+01
8.399999737739562988e-01 2.056851148605346680e+00 2.994824981689453125e+01 2.031392478942871094e+01 3.009778213500976562e+01 4.056266784667968750e+01 4.006444549560546875e+01 3.051331901550292969e+01 1.992499160766601562e+01 3.034864997863769531e+01
9.800000190734863281e-01 2.375998735427856445e+00 2.994829368591308594e+01 2.037121772766113281e+01 3.009778976440429688e+01 4.064545440673828125e+01 4.006366348266601562e+01 3.058389091491699219e+01 1.992579650878906250e+01 3.041813278198242188e+01
1.120000004768371582e+00 2.688839912414550781e+00 2.994833755493164062e+01 2.042849540710449219e+01 3.009779739379882812e+01 4.072825241088867188e+01 4.006288528442382812e+01 3.065446281433105469e+01 1.992659568786621094e+01 3.048761749267578125e+01
1.259999990463256836e+00 2.995532989501953125e+00 2.994837951660156250e+01 2.048575592041015625e+01 3.009780693054199219e+01 4.081106948852539062e+01 4.006211090087890625e+01 3.072503471374511719e+01 1.992739295959472656e+01 3.055710220336914062e+01
1.399999976158142090e+00 3.296230554580688477e+00 2.994841957092285156e+01 2.054299926757812500e+01 3.009781837463378906e+01 4.089390182495117188e+01 4.006134033203125000e+01 3.079560279846191406e+01 1.992818260192871094e+01 3.062659072875976562e+01
1.539999961853027344e+00 3.591081142425537109e+00 2.994845771789550781e+01 2.060022544860839844e+01 3.009782981872558594e+01 4.097674942016601562e+01 4.006057357788085938e+01 3.086617088317871094e+01 1.992897033691406250e+01 3.069607925415039062e+01
1.679999947547912598e+00 3.880228519439697266e+00 2.994849586486816406e+01 2.065743637084960938e+01 3.009784317016601562e+01 4.105961608886718750e+01 4.005981063842773438e+01 3.093673706054687500e+01 1.992975234985351562e+01 3.076556968688964844e+01
1.820000052452087402e+00 4.163811683654785156e+00 2.994853401184082031e+01 2.071462821960449219e+01 3.009785652160644531e+01 4.114249801635742188e+01 4.005905532836914062e+01 3.100730133056640625e+01 1.993053054809570312e+01 3.083506393432617188e+01
1.960000038146972656e+00 4.441965579986572266e+00 2.994857025146484375e+01 2.077180480957031250e+01 3.009786987304687500e+01 4.122539520263671875e+01 4.005830001831054688e+01 3.107786178588867188e+01 1.993130493164062500e+01 3.090456008911132812e+01
2.099999904632568359e+00 4.714820861816406250e+00 2.994860458374023438e+01 2.082896423339843750e+01 3.009788513183593750e+01 4.130830764770507812e+01 4.005755233764648438e+01 3.114842224121093750e+01 1.993207550048828125e+01 3.097405815124511719e+01
2.240000009536743164e+00 4.982504367828369141e+00 2.994863891601562500e+01 2.088610649108886719e+01 3.009790229797363281e+01 4.139123916625976562e+01 4.005680465698242188e+01 3.121897888183593750e+01 1.993284225463867188e+01 3.104355812072753906e+01
2.380000114440917969e+00 5.245139598846435547e+00 2.994867134094238281e+01 2.094323158264160156e+01 3.009791946411132812e+01 4.147418594360351562e+01 4.005606460571289062e+01 3.128953361511230469e+01 1.993360519409179688e+01 3.111306190490722656e+01
2.519999980926513672e+00 5.502845764160156250e+00 2.994870376586914062e+01 2.100033950805664062e+01 3.009793663024902344e+01 4.155714797973632812e+01 4.005532455444335938e+01 3.136008644104003906e+01 1.993436431884765625e+01 3.118256759643554688e+01
2.660000085830688477e+00 5.755738258361816406e+00 2.994873428344726562e+01 2.105743026733398438e+01 3.009795570373535156e+01 4.164012527465820312e+01 4.005459213256835938e+01 3.143063735961914062e+01 1.993511962890625000e+01 3.125207519531250000e+01
2.799999952316284180e+00 6.003929615020751953e+00 2.994876289367675781e+01 2.111450386047363281e+01 3.009797477722167969e+01 4.172312164306640625e+01 4.005385971069335938e+01 3.150118446350097656e+01 1.993587112426757812e+01 3.132158660888671875e+01
2.940000057220458984e+00 6.247529029846191406e+00 2.994879341125488281e+01 2.117156219482421875e+01 3.009799575805664062e+01 4.180613327026367188e+01 4.005313110351562500e+01 3.157172966003417969e+01 1.993662071228027344e+01 3.139110183715820312e+01
3.079999923706054688e+00 6.486642360687255859e+00 2.994882011413574219e+01 2.122860145568847656e+01 3.009801673889160156e+01 4.188916015625000000e+01 4.005240631103515625e+01 3.164227104187011719e+01 1.993736457824707031e+01 3.146061897277832031e+01
3.220000028610229492e+00 6.721371650695800781e+00 2.994884681701660156e+01 2.128562545776367188e+01 3.009803771972656250e+01 4.197220611572265625e+01 4.005168533325195312e+01 3.171281051635742188e+01 1.993810844421386719e+01 3.153013801574707031e+01
