Length: 70.0
Width: 65.0
Thickness: 0.2
Parameters: [(u'sphylinder_projection', (5.0, 5.0, 0.0, 2.6000000000000001, 2.6000000000000001, 0.90000000000000002), u'Hard'), (u'sphylinder_projection', (15.0, 5.0, 90.0, 2.6000000000000001, 2.6000000000000001, 0.90000000000000002), u'Hard'), (u'sphylinder_projection', (15.0, 15.0, 0.0, 2.6000000000000001, 2.6000000000000001, 0.90000000000000002), u'Hard'), (u'sphylinder_projection', (5.0, 15.0, 90.0, 2.6000000000000001, 2.6000000000000001, 0.90000000000000002), u'Hard')]
Displacement Force P3-x P3-y P2-x P2-y P4-x P4-y P1-x P1-y
0.000000000000000000e+00 -0.000000000000000000e+00 3.010673522949218750e+01 3.996671676635742188e+01 4.006234741210937500e+01 3.011281967163085938e+01 2.003820037841796875e+01 2.990223693847656250e+01 2.991511154174804688e+01 2.009793853759765625e+01
1.400000005960464478e-01 1.561764478683471680e-01 3.010675430297851562e+01 4.005612945556640625e+01 4.005684661865234375e+01 3.018301773071289062e+01 2.004371833801269531e+01 2.997206687927246094e+01 2.991509628295898438e+01 2.014863777160644531e+01
2.800000011920928955e-01 3.110317289829254150e-01 3.010677146911621094e+01 4.014554595947265625e+01 4.005136871337890625e+01 3.025321578979492188e+01 2.004920959472656250e+01 3.004189491271972656e+01 2.991508102416992188e+01 2.019933509826660156e+01
4.199999868869781494e-01 4.645787477493286133e-01 3.010679054260253906e+01 4.023495864868164062e+01 4.004591369628906250e+01 3.032341384887695312e+01 2.005467796325683594e+01 3.011172294616699219e+01 2.991506767272949219e+01 2.025003433227539062e+01
5.600000023841857910e-01 6.168311238288879395e-01 3.010680770874023438e+01 4.032437515258789062e+01 4.004048156738281250e+01 3.039361381530761719e+01 2.006012153625488281e+01 3.018155097961425781e+01 2.991505241394042969e+01 2.030073356628417969e+01
6.999999880790710449e-01 7.678020000457763672e-01 3.010682296752929688e+01 4.041379165649414062e+01 4.003507614135742188e+01 3.046381378173828125e+01 2.006554031372070312e+01 3.025137710571289062e+01 2.991503906250000000e+01 2.035143280029296875e+01
8.399999737739562988e-01 9.175043106079101562e-01 3.010684013366699219e+01 4.050320816040039062e+01 4.002969360351562500e+01 3.053401374816894531e+01 2.007093811035156250e+01 3.032120513916015625e+01 2.991502571105957031e+01 2.040213012695312500e+01
9.800000190734863281e-01 1.065950989723205566e+00 3.010685539245605469e+01 4.059262466430664062e+01 4.002433395385742188e+01 3.060421562194824219e+01 2.007630920410156250e+01 3.039103126525878906e+01 2.991501235961914062e+01 2.045282936096191406e+01
1.120000004768371582e+00 1.213154673576354980e+00 3.010687065124511719e+01 4.068204116821289062e+01 4.001899337768554688e+01 3.067441749572753906e+01 2.008165931701660156e+01 3.046085548400878906e+01 2.991500091552734375e+01 2.050352859497070312e+01
1.259999990463256836e+00 1.359127759933471680e+00 3.010688591003417969e+01 4.077145767211914062e+01 4.001367950439453125e+01 3.074461936950683594e+01 2.008698463439941406e+01 3.053068161010742188e+01 2.991498756408691406e+01 2.055422782897949219e+01
1.399999976158142090e+00 1.503882765769958496e+00 3.010689926147460938e+01 4.086087417602539062e+01 4.000838851928710938e+01 3.081482315063476562e+01 2.009228897094726562e+01 3.060050582885742188e+01 2.991497611999511719e+01 2.060492515563964844e+01
1.539999961853027344e+00 1.647431731224060059e+00 3.010691261291503906e+01 4.095029449462890625e+01 4.000311660766601562e+01 3.088502693176269531e+01 2.009756851196289062e+01 3.067033004760742188e+01 2.991496467590332031e+01 2.065562438964843750e+01
1.679999947547912598e+00 1.789786815643310547e+00 3.010692596435546875e+01 4.103971099853515625e+01 3.999786758422851562e+01 3.095523071289062500e+01 2.010282707214355469e+01 3.074015235900878906e+01 2.991495323181152344e+01 2.070632171630859375e+01
1.820000052452087402e+00 1.930959939956665039e+00 3.010693931579589844e+01 4.112913131713867188e+01 3.999264144897460938e+01 3.102543640136718750e+01 2.010806465148925781e+01 3.080997657775878906e+01 2.991494369506835938e+01 2.075702095031738281e+01
1.960000038146972656e+00 2.070962905883789062e+00 3.010695075988769531e+01 4.121855163574218750e+01 3.998743820190429688e+01 3.109564018249511719e+01 2.011327743530273438e+01 3.087979888916015625e+01 2.991493225097656250e+01 2.080771827697753906e+01
2.099999904632568359e+00 2.209807157516479492e+00 3.010696220397949219e+01 4.130797195434570312e+01 3.998225402832031250e+01 3.116584777832031250e+01 2.011847114562988281e+01 3.094962120056152344e+01 2.991492271423339844e+01 2.085841751098632812e+01
2.240000009536743164e+00 2.347504138946533203e+00 3.010697364807128906e+01 4.139739227294921875e+01 3.997709274291992188e+01 3.123605346679687500e+01 2.012364196777343750e+01 3.101944160461425781e+01 2.991491317749023438e+01 2.090911483764648438e+01
2.380000114440917969e+00 2.484065532684326172e+00 3.010698509216308594e+01 4.148681259155273438e+01 3.997195053100585938e+01 3.130626106262207031e+01 2.012879180908203125e+01 3.108926200866699219e+01 2.991490364074707031e+01 2.095981216430664062e+01
2.519999980926513672e+00 2.619502067565917969e+00 3.010699462890625000e+01 4.157623291015625000e+01 3.996682739257812500e+01 3.137646865844726562e+01 2.013391876220703125e+01 3.115908241271972656e+01 2.991489410400390625e+01 2.101050949096679688e+01
2.660000085830688477e+00 2.753825426101684570e+00 3.010700416564941406e+01 4.166565704345703125e+01 3.996172714233398438e+01 3.144667816162109375e+01 2.013902664184570312e+01 3.122890281677246094e+01 2.991488647460937500e+01 2.106120681762695312e+01
2.799999952316284180e+00 2.887045860290527344e+00 3.010701370239257812e+01 4.175507736206054688e+01 3.995664978027343750e+01 3.151688575744628906e+01 2.014411354064941406e+01 3.129872322082519531e+01 2.991487693786621094e+01 2.111190414428710938e+01
2.940000057220458984e+00 3.019174575805664062e+00 3.010702323913574219e+01 4.184450149536132812e+01 3.995158767700195312e+01 3.158709716796875000e+01 2.014917945861816406e+01 3.136854171752929688e+01 2.991486930847167969e+01 2.116259956359863281e+01
3.079999923706054688e+00 3.150222301483154297e+00 3.010703086853027344e+01 4.193392562866210938e+01 3.994654846191406250e+01 3.165730667114257812e+01 2.015422439575195312e+01 3.143836021423339844e+01 2.991486167907714844e+01 2.121329689025878906e+01
3.220000028610229492e+00 3.280199289321899414e+00 3.010703849792480469e+01 4.202334976196289062e+01 3.994152832031250000e+01 3.172751808166503906e+01 2.015925025939941406e+01 3.150817680358886719e+01 2.991485595703125000e+01 2.126399230957031250e+01
3.359999895095825195e+00 3.409116029739379883e+00 3.010704612731933594e+01 4.211277770996093750e+01 3.993652725219726562e+01 3.179772949218750000e+01 2.016425514221191406e+01 3.157799530029296875e+01 2.991484832763671875e+01 2.131468963623046875e+01
3.500000000000000000e+00 3.536983013153076172e+00 3.010705375671386719e+01 4.220220184326171875e+01 3.993154907226562500e+01 3.186794090270996094e+01 2.016924095153808594e+01 3.164781188964843750e+01 2.991484260559082031e+01 2.136538505554199219e+01
