Length: 70.0
Width: 65.0
Thickness: 0.2
Parameters: [(u'sphylinder_projection', (5.0, 5.0, 0.0, 5.4000000000000004, 1.8, 0.90000000000000002), u'Hard'), (u'sphylinder_projection', (15.0, 5.0, 90.0, 5.4000000000000004, 1.8, 0.90000000000000002), u'Hard'), (u'sphylinder_projection', (15.0, 15.0, 0.0, 5.4000000000000004, 1.8, 0.90000000000000002), u'Hard'), (u'sphylinder_projection', (5.0, 15.0, 90.0, 5.4000000000000004, 1.8, 0.90000000000000002), u'Hard')]
Displacement Force P2-x P2-y P1-x P1-y P4-x P4-y P3-x P3-y
0.000000000000000000e+00 -0.000000000000000000e+00 4.005295944213867188e+01 2.997173881530761719e+01 3.012499237060546875e+01 2.003319931030273438e+01 1.996549606323242188e+01 3.011623764038085938e+01 3.006089210510253906e+01 3.999182128906250000e+01
1.400000005960464478e-01 2.132944613695144653e-01 4.004999542236328125e+01 3.004143142700195312e+01 3.012493896484375000e+01 2.008592224121093750e+01 1.996837806701660156e+01 3.018673706054687500e+01 3.006092071533203125e+01 4.007917404174804688e+01
2.800000011920928955e-01 4.241030812263488770e-01 4.004704666137695312e+01 3.011112594604492188e+01 3.012488555908203125e+01 2.013864517211914062e+01 1.997124481201171875e+01 3.025723457336425781e+01 3.006094741821289062e+01 4.016653060913085938e+01
4.199999868869781494e-01 6.324602961540222168e-01 4.004410934448242188e+01 3.018081855773925781e+01 3.012483215332031250e+01 2.019136428833007812e+01 1.997409820556640625e+01 3.032773399353027344e+01 3.006097602844238281e+01 4.025389480590820312e+01
5.600000023841857910e-01 8.384029865264892578e-01 4.004118728637695312e+01 3.025051307678222656e+01 3.012477874755859375e+01 2.024408149719238281e+01 1.997693824768066406e+01 3.039823150634765625e+01 3.006100273132324219e+01 4.034125900268554688e+01
6.999999880790710449e-01 1.041966319084167480e+00 4.003828048706054688e+01 3.032020759582519531e+01 3.012472724914550781e+01 2.029679679870605469e+01 1.997976493835449219e+01 3.046872901916503906e+01 3.006102943420410156e+01 4.042863082885742188e+01
8.399999737739562988e-01 1.243184685707092285e+00 4.003538513183593750e+01 3.038990402221679688e+01 3.012467575073242188e+01 2.034951210021972656e+01 1.998257827758789062e+01 3.053922843933105469e+01 3.006105422973632812e+01 4.051600646972656250e+01
9.800000190734863281e-01 1.442092061042785645e+00 4.003250122070312500e+01 3.045960044860839844e+01 3.012462425231933594e+01 2.040222358703613281e+01 1.998537826538085938e+01 3.060972595214843750e+01 3.006108093261718750e+01 4.060338592529296875e+01
1.120000004768371582e+00 1.638721704483032227e+00 4.002963256835937500e+01 3.052929687500000000e+01 3.012457275390625000e+01 2.045493316650390625e+01 1.998816680908203125e+01 3.068022346496582031e+01 3.006110572814941406e+01 4.069076919555664062e+01
1.259999990463256836e+00 1.833106160163879395e+00 4.002677917480468750e+01 3.059899330139160156e+01 3.012452316284179688e+01 2.050764083862304688e+01 1.999094200134277344e+01 3.075072097778320312e+01 3.006113052368164062e+01 4.077816009521484375e+01
1.399999976158142090e+00 2.025277614593505859e+00 4.002393341064453125e+01 3.066869163513183594e+01 3.012447166442871094e+01 2.056034660339355469e+01 1.999370574951171875e+01 3.082121658325195312e+01 3.006115531921386719e+01 4.086555099487304688e+01
1.539999961853027344e+00 2.215267419815063477e+00 4.002110290527343750e+01 3.073838996887207031e+01 3.012442207336425781e+01 2.061305046081542969e+01 1.999645614624023438e+01 3.089171409606933594e+01 3.006118011474609375e+01 4.095294952392578125e+01
1.679999947547912598e+00 2.403106451034545898e+00 4.001828384399414062e+01 3.080808830261230469e+01 3.012437248229980469e+01 2.066575050354003906e+01 1.999919509887695312e+01 3.096220970153808594e+01 3.006120300292968750e+01 4.104034805297851562e+01
1.820000052452087402e+00 2.588825225830078125e+00 4.001547622680664062e+01 3.087778854370117188e+01 3.012432479858398438e+01 2.071845054626464844e+01 2.000192070007324219e+01 3.103270530700683594e+01 3.006122589111328125e+01 4.112775421142578125e+01
1.960000038146972656e+00 2.772453308105468750e+00 4.001268386840820312e+01 3.094748878479003906e+01 3.012427520751953125e+01 2.077114868164062500e+01 2.000463676452636719e+01 3.110320091247558594e+01 3.006124877929687500e+01 4.121516418457031250e+01
2.099999904632568359e+00 2.954020023345947266e+00 4.000989913940429688e+01 3.101719093322753906e+01 3.012422752380371094e+01 2.082384490966796875e+01 2.000733947753906250e+01 3.117369461059570312e+01 3.006127166748046875e+01 4.130257797241210938e+01
2.240000009536743164e+00 3.133554220199584961e+00 4.000712966918945312e+01 3.108689308166503906e+01 3.012417984008789062e+01 2.087653732299804688e+01 2.001003265380859375e+01 3.124419021606445312e+01 3.006129455566406250e+01 4.138999557495117188e+01
