Length: 70.0
Width: 65.0
Thickness: 0.2
Parameters: [(u'sphylinder_projection', (5.0, 5.0, 0.0, 5.0, 4.5999999999999996, 0.90000000000000002), u'Hard'), (u'sphylinder_projection', (15.0, 5.0, 90.0, 5.0, 4.5999999999999996, 0.90000000000000002), u'Hard'), (u'sphylinder_projection', (15.0, 15.0, 0.0, 5.0, 4.5999999999999996, 0.90000000000000002), u'Hard'), (u'sphylinder_projection', (5.0, 15.0, 90.0, 5.0, 4.5999999999999996, 0.90000000000000002), u'Hard')]
Displacement Force P2-x P2-y P1-x P1-y P3-x P3-y P4-x P4-y
0.000000000000000000e+00 -0.000000000000000000e+00 4.010037612915039062e+01 2.994213485717773438e+01 3.003236770629882812e+01 2.002829933166503906e+01 2.996442413330078125e+01 3.998123550415039062e+01 1.980978012084960938e+01 3.010907363891601562e+01
1.400000005960464478e-01 5.466040372848510742e-01 4.010034942626953125e+01 3.001192474365234375e+01 3.003233528137207031e+01 2.009192085266113281e+01 2.996444702148437500e+01 4.005762863159179688e+01 1.980969047546386719e+01 3.017938232421875000e+01
2.800000011920928955e-01 1.077031850814819336e+00 4.010032653808593750e+01 3.008171463012695312e+01 3.003230476379394531e+01 2.015551948547363281e+01 2.996446800231933594e+01 4.013404464721679688e+01 1.980959701538085938e+01 3.024969291687011719e+01
4.199999868869781494e-01 1.591833949089050293e+00 4.010030746459960938e+01 3.015150642395019531e+01 3.003227424621582031e+01 2.021909713745117188e+01 2.996448707580566406e+01 4.021048355102539062e+01 1.980949783325195312e+01 3.032000350952148438e+01
5.600000023841857910e-01 2.091575384140014648e+00 4.010029602050781250e+01 3.022129631042480469e+01 3.003224563598632812e+01 2.028264999389648438e+01 2.996450614929199219e+01 4.028694915771484375e+01 1.980939483642578125e+01 3.039031410217285156e+01
6.999999880790710449e-01 2.576785802841186523e+00 4.010028839111328125e+01 3.029108619689941406e+01 3.003221702575683594e+01 2.034617805480957031e+01 2.996452522277832031e+01 4.036343383789062500e+01 1.980928611755371094e+01 3.046062660217285156e+01
8.399999737739562988e-01 3.047971010208129883e+00 4.010028457641601562e+01 3.036087799072265625e+01 3.003219032287597656e+01 2.040968132019042969e+01 2.996454429626464844e+01 4.043994903564453125e+01 1.980917358398437500e+01 3.053093910217285156e+01
9.800000190734863281e-01 3.505616188049316406e+00 4.010028839111328125e+01 3.043066787719726562e+01 3.003216361999511719e+01 2.047315979003906250e+01 2.996455955505371094e+01 4.051648330688476562e+01 1.980905723571777344e+01 3.060125160217285156e+01
1.120000004768371582e+00 3.950186014175415039e+00 4.010029602050781250e+01 3.050045776367187500e+01 3.003213691711425781e+01 2.053661346435546875e+01 2.996457672119140625e+01 4.059304809570312500e+01 1.980893516540527344e+01 3.067156410217285156e+01
1.259999990463256836e+00 4.382125854492187500e+00 4.010030746459960938e+01 3.057024955749511719e+01 3.003211212158203125e+01 2.060003852844238281e+01 2.996459197998046875e+01 4.066963958740234375e+01 1.980881118774414062e+01 3.074187850952148438e+01
1.399999976158142090e+00 4.801862716674804688e+00 4.010032272338867188e+01 3.064004135131835938e+01 3.003208732604980469e+01 2.066343688964843750e+01 2.996460723876953125e+01 4.074625778198242188e+01 1.980868339538574219e+01 3.081219291687011719e+01
1.539999961853027344e+00 5.209805965423583984e+00 4.010033798217773438e+01 3.070983123779296875e+01 3.003206443786621094e+01 2.072680664062500000e+01 2.996462249755859375e+01 4.082290267944335938e+01 1.980855178833007812e+01 3.088250732421875000e+01
1.679999947547912598e+00 5.606348514556884766e+00 4.010036087036132812e+01 3.077962303161621094e+01 3.003204154968261719e+01 2.079014968872070312e+01 2.996463584899902344e+01 4.089957809448242188e+01 1.980841827392578125e+01 3.095282173156738281e+01
1.820000052452087402e+00 5.991867542266845703e+00 4.010038757324218750e+01 3.084941482543945312e+01 3.003201866149902344e+01 2.085346221923828125e+01 2.996464920043945312e+01 4.097628402709960938e+01 1.980828094482421875e+01 3.102313804626464844e+01
