Length: 70.0
Width: 65.0
Thickness: 0.2
Parameters: [(u'sphylinder_projection', (5.0, 5.0, 0.0, 2.6000000000000001, 3.8000000000000003, 0.90000000000000002), u'Hard'), (u'sphylinder_projection', (15.0, 5.0, 90.0, 2.6000000000000001, 3.8000000000000003, 0.90000000000000002), u'Hard'), (u'sphylinder_projection', (15.0, 15.0, 0.0, 2.6000000000000001, 3.8000000000000003, 0.90000000000000002), u'Hard'), (u'sphylinder_projection', (5.0, 15.0, 90.0, 2.6000000000000001, 3.8000000000000003, 0.90000000000000002), u'Hard')]
Displacement Force P2-x P2-y P4-x P4-y P1-x P1-y P3-x P3-y
0.000000000000000000e+00 -0.000000000000000000e+00 3.988710784912109375e+01 2.996168136596679688e+01 1.996813583374023438e+01 2.997101974487304688e+01 2.991329002380371094e+01 2.001168441772460938e+01 2.991411972045898438e+01 3.992493438720703125e+01
1.400000005960464478e-01 1.938824355602264404e-01 3.988288879394531250e+01 3.003168296813964844e+01 1.997225952148437500e+01 3.004089164733886719e+01 2.991325950622558594e+01 2.006370925903320312e+01 2.991404151916503906e+01 4.001278686523437500e+01
2.800000011920928955e-01 3.857258260250091553e-01 3.987869644165039062e+01 3.010168647766113281e+01 1.997636032104492188e+01 3.011076354980468750e+01 2.991323089599609375e+01 2.011573219299316406e+01 2.991396331787109375e+01 4.010064315795898438e+01
4.199999868869781494e-01 5.755553245544433594e-01 3.987452316284179688e+01 3.017168998718261719e+01 1.998044204711914062e+01 3.018063545227050781e+01 2.991320228576660156e+01 2.016775321960449219e+01 2.991388511657714844e+01 4.018849945068359375e+01
5.600000023841857910e-01 7.633976340293884277e-01 3.987037277221679688e+01 3.024169158935546875e+01 1.998450088500976562e+01 3.025050735473632812e+01 2.991317367553710938e+01 2.021977424621582031e+01 2.991380882263183594e+01 4.027636337280273438e+01
6.999999880790710449e-01 9.492782354354858398e-01 3.986624526977539062e+01 3.031169509887695312e+01 1.998854064941406250e+01 3.032037925720214844e+01 2.991314506530761719e+01 2.027179145812988281e+01 2.991373252868652344e+01 4.036422348022460938e+01
8.399999737739562988e-01 1.133222460746765137e+00 3.986213684082031250e+01 3.038169860839843750e+01 1.999255752563476562e+01 3.039025115966796875e+01 2.991311645507812500e+01 2.032380676269531250e+01 2.991365814208984375e+01 4.045209121704101562e+01
9.800000190734863281e-01 1.315254926681518555e+00 3.985805130004882812e+01 3.045170211791992188e+01 1.999655723571777344e+01 3.046012496948242188e+01 2.991308975219726562e+01 2.037582015991210938e+01 2.991358566284179688e+01 4.053995895385742188e+01
1.120000004768371582e+00 1.495400071144104004e+00 3.985398864746093750e+01 3.052170753479003906e+01 2.000053405761718750e+01 3.052999687194824219e+01 2.991306304931640625e+01 2.042783164978027344e+01 2.991351127624511719e+01 4.062783050537109375e+01
1.259999990463256836e+00 1.673681974411010742e+00 3.984994506835937500e+01 3.059171104431152344e+01 2.000449180603027344e+01 3.059986877441406250e+01 2.991303634643554688e+01 2.047984123229980469e+01 2.991343879699707031e+01 4.071570587158203125e+01
