Length: 70.0
Width: 65.0
Thickness: 0.2
Parameters: [(u'sphylinder_projection', (5.0, 5.0, 0.0, 3.0, 4.5999999999999996, 0.90000000000000002), u'Hard'), (u'sphylinder_projection', (15.0, 5.0, 90.0, 3.0, 4.5999999999999996, 0.90000000000000002), u'Hard'), (u'sphylinder_projection', (15.0, 15.0, 0.0, 3.0, 4.5999999999999996, 0.90000000000000002), u'Hard'), (u'sphylinder_projection', (5.0, 15.0, 90.0, 3.0, 4.5999999999999996, 0.90000000000000002), u'Hard')]
Displacement Force P2-x P2-y P4-x P4-y P1-x P1-y P3-x P3-y
0.000000000000000000e+00 -0.000000000000000000e+00 3.994572448730468750e+01 3.007706069946289062e+01 1.991355705261230469e+01 2.980762481689453125e+01 3.007779121398925781e+01 2.005756759643554688e+01 2.986774063110351562e+01 3.999675750732421875e+01
1.400000005960464478e-01 2.570818066596984863e-01 3.994322204589843750e+01 3.014735794067382812e+01 1.991587448120117188e+01 2.987707710266113281e+01 3.007790946960449219e+01 2.011194610595703125e+01 2.986763000488281250e+01 4.008248901367187500e+01
2.800000011920928955e-01 5.105540752410888672e-01 3.994073867797851562e+01 3.021765518188476562e+01 1.991817855834960938e+01 2.994652938842773438e+01 3.007802772521972656e+01 2.016631507873535156e+01 2.986752128601074219e+01 4.016822433471679688e+01
4.199999868869781494e-01 7.604772448539733887e-01 3.993826675415039062e+01 3.028795433044433594e+01 1.992046928405761719e+01 3.001597976684570312e+01 3.007814407348632812e+01 2.022068023681640625e+01 2.986741447448730469e+01 4.025397109985351562e+01
5.600000023841857910e-01 1.006914973258972168e+00 3.993581008911132812e+01 3.035825538635253906e+01 1.992274665832519531e+01 3.008543014526367188e+01 3.007826042175292969e+01 2.027503585815429688e+01 2.986730766296386719e+01 4.033972549438476562e+01
6.999999880790710449e-01 1.249927759170532227e+00 3.993337249755859375e+01 3.042855644226074219e+01 1.992500877380371094e+01 3.015488052368164062e+01 3.007837677001953125e+01 2.032938575744628906e+01 2.986720275878906250e+01 4.042548751831054688e+01
8.399999737739562988e-01 1.489575147628784180e+00 3.993094635009765625e+01 3.049885940551757812e+01 1.992725944519042969e+01 3.022432899475097656e+01 3.007848930358886719e+01 2.038372993469238281e+01 2.986709785461425781e+01 4.051125717163085938e+01
9.800000190734863281e-01 1.725915312767028809e+00 3.992853546142578125e+01 3.056916236877441406e+01 1.992949676513671875e+01 3.029377746582031250e+01 3.007860374450683594e+01 2.043806648254394531e+01 2.986699485778808594e+01 4.059703445434570312e+01
1.120000004768371582e+00 1.959004759788513184e+00 3.992613601684570312e+01 3.063946914672851562e+01 1.993172073364257812e+01 3.036322593688964844e+01 3.007871437072753906e+01 2.049239540100097656e+01 2.986689186096191406e+01 4.068281936645507812e+01
1.259999990463256836e+00 2.188899517059326172e+00 3.992375183105468750e+01 3.070977401733398438e+01 1.993393135070800781e+01 3.043267440795898438e+01 3.007882499694824219e+01 2.054671859741210938e+01 2.986679077148437500e+01 4.076861572265625000e+01
