Length: 70.0
Width: 65.0
Thickness: 0.2
Parameters: [(u'sphylinder_projection', (5.0, 5.0, 0.0, 2.6000000000000001, 1.3999999999999999, 0.90000000000000002), u'Hard'), (u'sphylinder_projection', (15.0, 5.0, 90.0, 2.6000000000000001, 1.3999999999999999, 0.90000000000000002), u'Hard'), (u'sphylinder_projection', (15.0, 15.0, 0.0, 2.6000000000000001, 1.3999999999999999, 0.90000000000000002), u'Hard'), (u'sphylinder_projection', (5.0, 15.0, 90.0, 2.6000000000000001, 1.3999999999999999, 0.90000000000000002), u'Hard')]
Displacement Force P2-x P2-y P3-x P3-y P1-x P1-y P4-x P4-y
0.000000000000000000e+00 -0.000000000000000000e+00 4.007955551147460938e+01 2.996216773986816406e+01 2.999236488342285156e+01 3.987013244628906250e+01 3.013927078247070312e+01 2.004855346679687500e+01 2.001730346679687500e+01 2.993274307250976562e+01
1.400000005960464478e-01 1.312547326087951660e-01 4.007319641113281250e+01 3.003206062316894531e+01 2.999238204956054688e+01 3.996035385131835938e+01 3.013923835754394531e+01 2.009818840026855469e+01 2.002365112304687500e+01 3.000266075134277344e+01
2.800000011920928955e-01 2.615744769573211670e-01 4.006686019897460938e+01 3.010195541381835938e+01 2.999239921569824219e+01 4.005057525634765625e+01 3.013920402526855469e+01 2.014782524108886719e+01 2.002997589111328125e+01 3.007257652282714844e+01
4.199999868869781494e-01 3.909668922424316406e-01 4.006055068969726562e+01 3.017184829711914062e+01 2.999241638183593750e+01 4.014079666137695312e+01 3.013917160034179688e+01 2.019746208190917969e+01 2.003627586364746094e+01 3.014249420166015625e+01
5.600000023841857910e-01 5.194398164749145508e-01 4.005426025390625000e+01 3.024174308776855469e+01 2.999243354797363281e+01 4.023101806640625000e+01 3.013913726806640625e+01 2.024709892272949219e+01 2.004255294799804688e+01 3.021240997314453125e+01
6.999999880790710449e-01 6.470009088516235352e-01 4.004799652099609375e+01 3.031163597106933594e+01 2.999244880676269531e+01 4.032123565673828125e+01 3.013910293579101562e+01 2.029673576354980469e+01 2.004880714416503906e+01 3.028232574462890625e+01
8.399999737739562988e-01 7.736578583717346191e-01 4.004175567626953125e+01 3.038153076171875000e+01 2.999246597290039062e+01 4.041145706176757812e+01 3.013907051086425781e+01 2.034637451171875000e+01 2.005503845214843750e+01 3.035224151611328125e+01
9.800000190734863281e-01 8.994181156158447266e-01 4.003553390502929688e+01 3.045142555236816406e+01 2.999248123168945312e+01 4.050167465209960938e+01 3.013903617858886719e+01 2.039601325988769531e+01 2.006124687194824219e+01 3.042215728759765625e+01
1.120000004768371582e+00 1.024289131164550781e+00 4.002933502197265625e+01 3.052131843566894531e+01 2.999249839782714844e+01 4.059189224243164062e+01 3.013900184631347656e+01 2.044565391540527344e+01 2.006743240356445312e+01 3.049207305908203125e+01
1.259999990463256836e+00 1.148278355598449707e+00 4.002316284179687500e+01 3.059121322631835938e+01 2.999251365661621094e+01 4.068210983276367188e+01 3.013896751403808594e+01 2.049529266357421875e+01 2.007359504699707031e+01 3.056198883056640625e+01
1.399999976158142090e+00 1.271393060684204102e+00 4.001700592041015625e+01 3.066110801696777344e+01 2.999253082275390625e+01 4.077232742309570312e+01 3.013893318176269531e+01 2.054493331909179688e+01 2.007973670959472656e+01 3.063190460205078125e+01
1.539999961853027344e+00 1.393640518188476562e+00 4.001087570190429688e+01 3.073100280761718750e+01 2.999254608154296875e+01 4.086254501342773438e+01 3.013889884948730469e+01 2.059457397460937500e+01 2.008585548400878906e+01 3.070182037353515625e+01
1.679999947547912598e+00 1.515027880668640137e+00 4.000476455688476562e+01 3.080089759826660156e+01 2.999256134033203125e+01 4.095276260375976562e+01 3.013886451721191406e+01 2.064421463012695312e+01 2.009195327758789062e+01 3.077173423767089844e+01
1.820000052452087402e+00 1.635562181472778320e+00 3.999867630004882812e+01 3.087079238891601562e+01 2.999257659912109375e+01 4.104297637939453125e+01 3.013883018493652344e+01 2.069385528564453125e+01 2.009803009033203125e+01 3.084165000915527344e+01
1.960000038146972656e+00 1.755250573158264160e+00 3.999260711669921875e+01 3.094068717956542969e+01 2.999259185791015625e+01 4.113319396972656250e+01 3.013879585266113281e+01 2.074349784851074219e+01 2.010408401489257812e+01 3.091156387329101562e+01
2.099999904632568359e+00 1.874099850654602051e+00 3.998656082153320312e+01 3.101058197021484375e+01 2.999260711669921875e+01 4.122340774536132812e+01 3.013875961303710938e+01 2.079314041137695312e+01 2.011011695861816406e+01 3.098147773742675781e+01
2.240000009536743164e+00 1.992117047309875488e+00 3.998053741455078125e+01 3.108047676086425781e+01 2.999262046813964844e+01 4.131362533569335938e+01 3.013872528076171875e+01 2.084278106689453125e+01 2.011613082885742188e+01 3.105139160156250000e+01
2.380000114440917969e+00 2.109308958053588867e+00 3.997452926635742188e+01 3.115037155151367188e+01 2.999263572692871094e+01 4.140383911132812500e+01 3.013869094848632812e+01 2.089242362976074219e+01 2.012212181091308594e+01 3.112130546569824219e+01
2.519999980926513672e+00 2.225682258605957031e+00 3.996854400634765625e+01 3.122026824951171875e+01 2.999265098571777344e+01 4.149405288696289062e+01 3.013865470886230469e+01 2.094206809997558594e+01 2.012809181213378906e+01 3.119121932983398438e+01
2.660000085830688477e+00 2.341243505477905273e+00 3.996258163452148438e+01 3.129016304016113281e+01 2.999266433715820312e+01 4.158427047729492188e+01 3.013862037658691406e+01 2.099171066284179688e+01 2.013404273986816406e+01 3.126113319396972656e+01
2.799999952316284180e+00 2.455999851226806641e+00 3.995663452148437500e+01 3.136005783081054688e+01 2.999267959594726562e+01 4.167448425292968750e+01 3.013858413696289062e+01 2.104135322570800781e+01 2.013997268676757812e+01 3.133104705810546875e+01
2.940000057220458984e+00 2.569957256317138672e+00 3.995071029663085938e+01 3.142995452880859375e+01 2.999269294738769531e+01 4.176469802856445312e+01 3.013854980468750000e+01 2.109099769592285156e+01 2.014588356018066406e+01 3.140095901489257812e+01
