Length: 70.0
Width: 65.0
Thickness: 0.2
Parameters: [(u'sphylinder_projection', (5.0, 5.0, 0.0, 3.5, 5.5, 0.92407499999999998), u'Hard'), (u'sphylinder_projection', (15.0, 5.0, 90.0, 3.5, 5.5, 0.92407499999999998), u'Hard'), (u'sphylinder_projection', (15.0, 15.0, 0.0, 3.5, 5.5, 0.92407499999999998), u'Hard'), (u'sphylinder_projection', (5.0, 15.0, 90.0, 3.5, 5.5, 0.92407499999999998), u'Hard')]
Displacement Force P4-x P4-y P3-x P3-y P2-x P2-y P1-x P1-y
0.000000000000000000e+00 -0.000000000000000000e+00 2.017486953735351562e+01 3.004450988769531250e+01 2.995639610290527344e+01 4.011239624023437500e+01 3.986292648315429688e+01 2.999425125122070312e+01 2.995875930786132812e+01 2.014204597473144531e+01
8.399999886751174927e-02 2.466186434030532837e-01 2.017534637451171875e+01 3.008637046813964844e+01 2.995639038085937500e+01 4.016112518310546875e+01 3.986249160766601562e+01 3.003644371032714844e+01 2.995891952514648438e+01 2.017770957946777344e+01
1.679999977350234985e-01 4.898622930049896240e-01 2.017581939697265625e+01 3.012823104858398438e+01 2.995638465881347656e+01 4.020986175537109375e+01 3.986205673217773438e+01 3.007863807678222656e+01 2.995907783508300781e+01 2.021336936950683594e+01
2.520000040531158447e-01 7.297859191894531250e-01 2.017629241943359375e+01 3.017009162902832031e+01 2.995638084411621094e+01 4.025860214233398438e+01 3.986162567138671875e+01 3.012083244323730469e+01 2.995923423767089844e+01 2.024902153015136719e+01
3.359999954700469971e-01 9.664474725723266602e-01 2.017676162719726562e+01 3.021195030212402344e+01 2.995637702941894531e+01 4.030735015869140625e+01 3.986119461059570312e+01 3.016302680969238281e+01 2.995939254760742188e+01 2.028466987609863281e+01
4.199999868869781494e-01 1.199902415275573730e+00 2.017722892761230469e+01 3.025380897521972656e+01 2.995637321472167969e+01 4.035610198974609375e+01 3.986076736450195312e+01 3.020522308349609375e+01 2.995954895019531250e+01 2.032031250000000000e+01
5.040000081062316895e-01 1.430204987525939941e+00 2.017769432067871094e+01 3.029566764831542969e+01 2.995637130737304688e+01 4.040486526489257812e+01 3.986034393310546875e+01 3.024741935729980469e+01 2.995970344543457031e+01 2.035595130920410156e+01
5.879999995231628418e-01 1.657408237457275391e+00 2.017815589904785156e+01 3.033752441406250000e+01 2.995636940002441406e+01 4.045363235473632812e+01 3.985992050170898438e+01 3.028961563110351562e+01 2.995985984802246094e+01 2.039158248901367188e+01
6.719999909400939941e-01 1.881564021110534668e+00 2.017861747741699219e+01 3.037938308715820312e+01 2.995636940002441406e+01 4.050240707397460938e+01 3.985950088500976562e+01 3.033181190490722656e+01 2.996001434326171875e+01 2.042720985412597656e+01
7.559999823570251465e-01 2.102723598480224609e+00 2.017907524108886719e+01 3.042123985290527344e+01 2.995636749267578125e+01 4.055118560791015625e+01 3.985908126831054688e+01 3.037400817871093750e+01 2.996016693115234375e+01 2.046283149719238281e+01
8.399999737739562988e-01 2.320936441421508789e+00 2.017953300476074219e+01 3.046309471130371094e+01 2.995636749267578125e+01 4.059997177124023438e+01 3.985866546630859375e+01 3.041620635986328125e+01 2.996031951904296875e+01 2.049844551086425781e+01
9.240000247955322266e-01 2.536251544952392578e+00 2.017998695373535156e+01 3.050495147705078125e+01 2.995636749267578125e+01 4.064876556396484375e+01 3.985824966430664062e+01 3.045840454101562500e+01 2.996047210693359375e+01 2.053405570983886719e+01
1.008000016212463379e+00 2.748716592788696289e+00 2.018043899536132812e+01 3.054680633544921875e+01 2.995636940002441406e+01 4.069756698608398438e+01 3.985783767700195312e+01 3.050060272216796875e+01 2.996062469482421875e+01 2.056966209411621094e+01
