Length: 70.0
Width: 65.0
Thickness: 0.2
Parameters: [(u'sphylinder_projection', (5.0, 5.0, 0.0, 3.5, 5.5, 0.89910000000000001), u'Hard'), (u'sphylinder_projection', (15.0, 5.0, 90.0, 3.5, 5.5, 0.89910000000000001), u'Hard'), (u'sphylinder_projection', (15.0, 15.0, 0.0, 3.5, 5.5, 0.89910000000000001), u'Hard'), (u'sphylinder_projection', (5.0, 15.0, 90.0, 3.5, 5.5, 0.89910000000000001), u'Hard')]
Displacement Force P1-x P1-y P3-x P3-y P2-x P2-y P4-x P4-y
0.000000000000000000e+00 -0.000000000000000000e+00 2.987912178039550781e+01 1.998087501525878906e+01 3.002422904968261719e+01 3.998801422119140625e+01 3.998331451416015625e+01 3.002177429199218750e+01 2.009967041015625000e+01 2.982629776000976562e+01
8.399999886751174927e-02 2.423387318849563599e-01 2.987913322448730469e+01 2.001618766784667969e+01 3.002416419982910156e+01 4.003665542602539062e+01 3.998289871215820312e+01 3.006399154663085938e+01 2.010001373291015625e+01 2.986785316467285156e+01
1.679999977350234985e-01 4.813975691795349121e-01 2.987914466857910156e+01 2.005149650573730469e+01 3.002409934997558594e+01 4.008530426025390625e+01 3.998248291015625000e+01 3.010620689392089844e+01 2.010035514831542969e+01 2.990940856933593750e+01
2.520000040531158447e-01 7.172293066978454590e-01 2.987915611267089844e+01 2.008679771423339844e+01 3.002403640747070312e+01 4.013396072387695312e+01 3.998206710815429688e+01 3.014842414855957031e+01 2.010069274902343750e+01 2.995096397399902344e+01
3.359999954700469971e-01 9.498898983001708984e-01 2.987916755676269531e+01 2.012209320068359375e+01 3.002397346496582031e+01 4.018262100219726562e+01 3.998165893554687500e+01 3.019064140319824219e+01 2.010103034973144531e+01 2.999251556396484375e+01
4.199999868869781494e-01 1.179432868957519531e+00 2.987917709350585938e+01 2.015738296508789062e+01 3.002391052246093750e+01 4.023129272460937500e+01 3.998124694824218750e+01 3.023285675048828125e+01 2.010136413574218750e+01 3.003406906127929688e+01
5.040000081062316895e-01 1.405910611152648926e+00 2.987918663024902344e+01 2.019266700744628906e+01 3.002384948730468750e+01 4.027996444702148438e+01 3.998084259033203125e+01 3.027507400512695312e+01 2.010169792175292969e+01 3.007562065124511719e+01
5.879999995231628418e-01 1.629374265670776367e+00 2.987919616699218750e+01 2.022794532775878906e+01 3.002378654479980469e+01 4.032864761352539062e+01 3.998043441772460938e+01 3.031729125976562500e+01 2.010202789306640625e+01 3.011717033386230469e+01
6.719999909400939941e-01 1.849874019622802734e+00 2.987920570373535156e+01 2.026321792602539062e+01 3.002372550964355469e+01 4.037733459472656250e+01 3.998003387451171875e+01 3.035950660705566406e+01 2.010235595703125000e+01 3.015872001647949219e+01
7.559999823570251465e-01 2.067459106445312500e+00 2.987921524047851562e+01 2.029848289489746094e+01 3.002366638183593750e+01 4.042602920532226562e+01 3.997962951660156250e+01 3.040172386169433594e+01 2.010268402099609375e+01 3.020026969909667969e+01
8.399999737739562988e-01 2.282177448272705078e+00 2.987922286987304688e+01 2.033374404907226562e+01 3.002360534667968750e+01 4.047473144531250000e+01 3.997923278808593750e+01 3.044393920898437500e+01 2.010300827026367188e+01 3.024181747436523438e+01
9.240000247955322266e-01 2.494076251983642578e+00 2.987923049926757812e+01 2.036899757385253906e+01 3.002354621887207031e+01 4.052343750000000000e+01 3.997883224487304688e+01 3.048615646362304688e+01 2.010333061218261719e+01 3.028336334228515625e+01
1.008000016212463379e+00 2.703201770782470703e+00 2.987923812866210938e+01 2.040424537658691406e+01 3.002348709106445312e+01 4.057215118408203125e+01 3.997843933105468750e+01 3.052837181091308594e+01 2.010365295410156250e+01 3.032491111755371094e+01
