Length: 70.0
Width: 65.0
Thickness: 0.2
Parameters: [(u'sphylinder_projection', (5.0, 5.0, 0.0, 3.5, 5.5, 0.724275), u'Hard'), (u'sphylinder_projection', (15.0, 5.0, 90.0, 3.5, 5.5, 0.724275), u'Hard'), (u'sphylinder_projection', (15.0, 15.0, 0.0, 3.5, 5.5, 0.724275), u'Hard'), (u'sphylinder_projection', (5.0, 15.0, 90.0, 3.5, 5.5, 0.724275), u'Hard')]
Displacement Force P2-x P2-y P4-x P4-y P3-x P3-y P1-x P1-y
0.000000000000000000e+00 -0.000000000000000000e+00 3.991015625000000000e+01 2.997106552124023438e+01 1.999616622924804688e+01 3.007974624633789062e+01 2.985313034057617188e+01 4.003047561645507812e+01 3.003164672851562500e+01 2.009095001220703125e+01
8.399999886751174927e-02 2.233356535434722900e-01 3.990949630737304688e+01 3.001318740844726562e+01 1.999681472778320312e+01 3.012168884277343750e+01 2.985304450988769531e+01 4.007965469360351562e+01 3.003175354003906250e+01 2.012592315673828125e+01
1.679999977350234985e-01 4.437969326972961426e-01 3.990884017944335938e+01 3.005530738830566406e+01 1.999746131896972656e+01 3.016363334655761719e+01 2.985295677185058594e+01 4.012884140014648438e+01 3.003185844421386719e+01 2.016088867187500000e+01
2.520000040531158447e-01 6.614277958869934082e-01 3.990818405151367188e+01 3.009742927551269531e+01 1.999810409545898438e+01 3.020557594299316406e+01 2.985287094116210938e+01 4.017803955078125000e+01 3.003196334838867188e+01 2.019584274291992188e+01
3.359999954700469971e-01 8.762762546539306641e-01 3.990753173828125000e+01 3.013955116271972656e+01 1.999874496459960938e+01 3.024752044677734375e+01 2.985278701782226562e+01 4.022724914550781250e+01 3.003207015991210938e+01 2.023078727722167969e+01
4.199999868869781494e-01 1.088387727737426758e+00 3.990688323974609375e+01 3.018167114257812500e+01 1.999938392639160156e+01 3.028946685791015625e+01 2.985270309448242188e+01 4.027647018432617188e+01 3.003217315673828125e+01 2.026572227478027344e+01
5.040000081062316895e-01 1.297806739807128906e+00 3.990623474121093750e+01 3.022379302978515625e+01 2.000002098083496094e+01 3.033141136169433594e+01 2.985261917114257812e+01 4.032569885253906250e+01 3.003227806091308594e+01 2.030064582824707031e+01
5.879999995231628418e-01 1.504576921463012695e+00 3.990559005737304688e+01 3.026591491699218750e+01 2.000065612792968750e+01 3.037335777282714844e+01 2.985253524780273438e+01 4.037494277954101562e+01 3.003238105773925781e+01 2.033556175231933594e+01
6.719999909400939941e-01 1.708740949630737305e+00 3.990494918823242188e+01 3.030803680419921875e+01 2.000128746032714844e+01 3.041530418395996094e+01 2.985245132446289062e+01 4.042419433593750000e+01 3.003248596191406250e+01 2.037046813964843750e+01
7.559999823570251465e-01 1.910340666770935059e+00 3.990430831909179688e+01 3.035015869140625000e+01 2.000191879272460938e+01 3.045725250244140625e+01 2.985236930847167969e+01 4.047345733642578125e+01 3.003258895874023438e+01 2.040536499023437500e+01
8.399999737739562988e-01 2.109416961669921875e+00 3.990367126464843750e+01 3.039228057861328125e+01 2.000254631042480469e+01 3.049919891357421875e+01 2.985228729248046875e+01 4.052272796630859375e+01 3.003269004821777344e+01 2.044025039672851562e+01
9.240000247955322266e-01 2.306010246276855469e+00 3.990303421020507812e+01 3.043440055847167969e+01 2.000317192077636719e+01 3.054114723205566406e+01 2.985220718383789062e+01 4.057201385498046875e+01 3.003279304504394531e+01 2.047512817382812500e+01
1.008000016212463379e+00 2.500159740447998047e+00 3.990240097045898438e+01 3.047652244567871094e+01 2.000379562377929688e+01 3.058309745788574219e+01 2.985212516784667969e+01 4.062130737304687500e+01 3.003289413452148438e+01 2.050999450683593750e+01
1.092000007629394531e+00 2.691904067993164062e+00 3.990177154541015625e+01 3.051864433288574219e+01 2.000441741943359375e+01 3.062504577636718750e+01 2.985204505920410156e+01 4.067061233520507812e+01 3.003299713134765625e+01 2.054485321044921875e+01
1.175999999046325684e+00 2.881281137466430664e+00 3.990114212036132812e+01 3.056076622009277344e+01 2.000503730773925781e+01 3.066699600219726562e+01 2.985196685791015625e+01 4.071992874145507812e+01 3.003309822082519531e+01 2.057970046997070312e+01
1.259999990463256836e+00 3.068327903747558594e+00 3.990051651000976562e+01 3.060288619995117188e+01 2.000565338134765625e+01 3.070894813537597656e+01 2.985188674926757812e+01 4.076925277709960938e+01 3.003319740295410156e+01 2.061454010009765625e+01
1.343999981880187988e+00 3.253080844879150391e+00 3.989989089965820312e+01 3.064500808715820312e+01 2.000626945495605469e+01 3.075090026855468750e+01 2.985180854797363281e+01 4.081859207153320312e+01 3.003329849243164062e+01 2.064936828613281250e+01
1.427999973297119141e+00 3.435575723648071289e+00 3.989926910400390625e+01 3.068712806701660156e+01 2.000688171386718750e+01 3.079285240173339844e+01 2.985173034667968750e+01 4.086793899536132812e+01 3.003339767456054688e+01 2.068418884277343750e+01
1.511999964714050293e+00 3.615847110748291016e+00 3.989865112304687500e+01 3.072924995422363281e+01 2.000749397277832031e+01 3.083480644226074219e+01 2.985165214538574219e+01 4.091729736328125000e+01 3.003349876403808594e+01 2.071899795532226562e+01
1.595999956130981445e+00 3.793929815292358398e+00 3.989803314208984375e+01 3.077136993408203125e+01 2.000810241699218750e+01 3.087675857543945312e+01 2.985157585144042969e+01 4.096666336059570312e+01 3.003359794616699219e+01 2.075379943847656250e+01
1.679999947547912598e+00 3.969856977462768555e+00 3.989741516113281250e+01 3.081348991394042969e+01 2.000871086120605469e+01 3.091871452331542969e+01 2.985149765014648438e+01 4.101604461669921875e+01 3.003369522094726562e+01 2.078858947753906250e+01
1.764000058174133301e+00 4.143661975860595703e+00 3.989680099487304688e+01 3.085560989379882812e+01 2.000931549072265625e+01 3.096067047119140625e+01 2.985142135620117188e+01 4.106543350219726562e+01 3.003379440307617188e+01 2.082336997985839844e+01
1.848000049591064453e+00 4.315376758575439453e+00 3.989619064331054688e+01 3.089772987365722656e+01 2.000992012023925781e+01 3.100262641906738281e+01 2.985134696960449219e+01 4.111483383178710938e+01 3.003389167785644531e+01 2.085814285278320312e+01
1.932000041007995605e+00 4.485033035278320312e+00 3.989558029174804688e+01 3.093984985351562500e+01 2.001052093505859375e+01 3.104458236694335938e+01 2.985127067565917969e+01 4.116424179077148438e+01 3.003399085998535156e+01 2.089290428161621094e+01
2.016000032424926758e+00 4.652662277221679688e+00 3.989497375488281250e+01 3.098196983337402344e+01 2.001112174987792969e+01 3.108654212951660156e+01 2.985119628906250000e+01 4.121366500854492188e+01 3.003408813476562500e+01 2.092765617370605469e+01
2.099999904632568359e+00 4.818295001983642578e+00 3.989436721801757812e+01 3.102408981323242188e+01 2.001171875000000000e+01 3.112849998474121094e+01 2.985112190246582031e+01 4.126309585571289062e+01 3.003418540954589844e+01 2.096240043640136719e+01
2.184000015258789062e+00 4.981961250305175781e+00 3.989376449584960938e+01 3.106620788574218750e+01 2.001231575012207031e+01 3.117045974731445312e+01 2.985104942321777344e+01 4.131253814697265625e+01 3.003428077697753906e+01 2.099713325500488281e+01
2.267999887466430664e+00 5.143689632415771484e+00 3.989316177368164062e+01 3.110832786560058594e+01 2.001290893554687500e+01 3.121241950988769531e+01 2.985097503662109375e+01 4.136198806762695312e+01 3.003437805175781250e+01 2.103185653686523438e+01
2.351999998092651367e+00 5.303509712219238281e+00 3.989256286621093750e+01 3.115044593811035156e+01 2.001350212097167969e+01 3.125438117980957031e+01 2.985090255737304688e+01 4.141145324707031250e+01 3.003447341918945312e+01 2.106657218933105469e+01
2.436000108718872070e+00 5.461449623107910156e+00 3.989196395874023438e+01 3.119256401062011719e+01 2.001409149169921875e+01 3.129634475708007812e+01 2.985083007812500000e+01 4.146092605590820312e+01 3.003456878662109375e+01 2.110127639770507812e+01
2.519999980926513672e+00 5.617537021636962891e+00 3.989136886596679688e+01 3.123468208312988281e+01 2.001468086242675781e+01 3.133830833435058594e+01 2.985075950622558594e+01 4.151041030883789062e+01 3.003466415405273438e+01 2.113597106933593750e+01
2.604000091552734375e+00 5.771799564361572266e+00 3.989077377319335938e+01 3.127680015563964844e+01 2.001526832580566406e+01 3.138027191162109375e+01 2.985068702697753906e+01 4.155990219116210938e+01 3.003475761413574219e+01 2.117065811157226562e+01
2.687999963760375977e+00 5.924263477325439453e+00 3.989018249511718750e+01 3.131891632080078125e+01 2.001585388183593750e+01 3.142223739624023438e+01 2.985061645507812500e+01 4.160940933227539062e+01 3.003485298156738281e+01 2.120533370971679688e+01
2.772000074386596680e+00 6.074954986572265625e+00 3.988959121704101562e+01 3.136103248596191406e+01 2.001643753051757812e+01 3.146420288085937500e+01 2.985054588317871094e+01 4.165892410278320312e+01 3.003494644165039062e+01 2.124000167846679688e+01
2.855999946594238281e+00 6.223900318145751953e+00 3.988899993896484375e+01 3.140315055847167969e+01 2.001701927185058594e+01 3.150617027282714844e+01 2.985047721862792969e+01 4.170844650268554688e+01 3.003503990173339844e+01 2.127465820312500000e+01
2.940000057220458984e+00 6.371124267578125000e+00 3.988841629028320312e+01 3.144526672363281250e+01 2.001760101318359375e+01 3.154813766479492188e+01 2.985040664672851562e+01 4.175798416137695312e+01 3.003513336181640625e+01 2.130930519104003906e+01
3.023999929428100586e+00 6.516652107238769531e+00 3.988782882690429688e+01 3.148738098144531250e+01 2.001817893981933594e+01 3.159010696411132812e+01 2.985033798217773438e+01 4.180752944946289062e+01 3.003522491455078125e+01 2.134394454956054688e+01
3.108000040054321289e+00 6.660508155822753906e+00 3.988724517822265625e+01 3.152949714660644531e+01 2.001875686645507812e+01 3.163207626342773438e+01 2.985027122497558594e+01 4.185708999633789062e+01 3.003531837463378906e+01 2.137857246398925781e+01
3.191999912261962891e+00 6.802716255187988281e+00 3.988666534423828125e+01 3.157161140441894531e+01 2.001933288574218750e+01 3.167404747009277344e+01 2.985020256042480469e+01 4.190665435791015625e+01 3.003540992736816406e+01 2.141319084167480469e+01
3.276000022888183594e+00 6.943299770355224609e+00 3.988608551025390625e+01 3.161372566223144531e+01 2.001990699768066406e+01 3.171602058410644531e+01 2.985013580322265625e+01 4.195623397827148438e+01 3.003550148010253906e+01 2.144780158996582031e+01
3.359999895095825195e+00 7.082282543182373047e+00 3.988550567626953125e+01 3.165583992004394531e+01 2.002047920227050781e+01 3.175799369812011719e+01 2.985006904602050781e+01 4.200582122802734375e+01 3.003559303283691406e+01 2.148240089416503906e+01
3.444000005722045898e+00 7.219686031341552734e+00 3.988492965698242188e+01 3.169795417785644531e+01 2.002104949951171875e+01 3.179996681213378906e+01 2.985000228881835938e+01 4.205541992187500000e+01 3.003568267822265625e+01 2.151699066162109375e+01
3.528000116348266602e+00 7.355533599853515625e+00 3.988435363769531250e+01 3.174006652832031250e+01 2.002161979675292969e+01 3.184194183349609375e+01 2.984993553161621094e+01 4.210503005981445312e+01 3.003577423095703125e+01 2.155157279968261719e+01
3.611999988555908203e+00 7.489846229553222656e+00 3.988378143310546875e+01 3.178217887878417969e+01 2.002218818664550781e+01 3.188391876220703125e+01 2.984987068176269531e+01 4.215465164184570312e+01 3.003586387634277344e+01 2.158614349365234375e+01
3.696000099182128906e+00 7.622646331787109375e+00 3.988320922851562500e+01 3.182429122924804688e+01 2.002275466918945312e+01 3.192589569091796875e+01 2.984980583190917969e+01 4.220428085327148438e+01 3.003595352172851562e+01 2.162070465087890625e+01
3.779999971389770508e+00 7.753954410552978516e+00 3.988263702392578125e+01 3.186640357971191406e+01 2.002331924438476562e+01 3.196787452697753906e+01 2.984974288940429688e+01 4.225392150878906250e+01 3.003604125976562500e+01 2.165525627136230469e+01
3.864000082015991211e+00 7.883791446685791016e+00 3.988206863403320312e+01 3.190851402282714844e+01 2.002388191223144531e+01 3.200985336303710938e+01 2.984967803955078125e+01 4.230357360839843750e+01 3.003613090515136719e+01 2.168980026245117188e+01
3.947999954223632812e+00 8.012177467346191406e+00 3.988150024414062500e+01 3.195062446594238281e+01 2.002444458007812500e+01 3.205183410644531250e+01 2.984961509704589844e+01 4.235323333740234375e+01 3.003621864318847656e+01 2.172433280944824219e+01
4.032000064849853516e+00 8.139133453369140625e+00 3.988093566894531250e+01 3.199273490905761719e+01 2.002500534057617188e+01 3.209381484985351562e+01 2.984955215454101562e+01 4.240290832519531250e+01 3.003630638122558594e+01 2.175885581970214844e+01
4.116000175476074219e+00 8.264678001403808594e+00 3.988037109375000000e+01 3.203484344482421875e+01 2.002556419372558594e+01 3.213579940795898438e+01 2.984948921203613281e+01 4.245259094238281250e+01 3.003639411926269531e+01 2.179336929321289062e+01
4.199999809265136719e+00 8.388830184936523438e+00 3.987981033325195312e+01 3.207695388793945312e+01 2.002612304687500000e+01 3.217778396606445312e+01 2.984942817687988281e+01 4.250228500366210938e+01 3.003648185729980469e+01 2.182787322998046875e+01
