Length: 90.0
Width: 85.0
Thickness: 0.2
Parameters: [(u'hippopede', (5.0, 5.0, 0.0, 2.6000000000000001, 2.2000000000000002), u'empty'), (u'hippopede', (15.0, 5.0, 90.0, 2.6000000000000001, 2.2000000000000002), u'empty'), (u'hippopede', (15.0, 15.0, 0.0, 2.6000000000000001, 2.2000000000000002), u'empty'), (u'hippopede', (5.0, 15.0, 90.0, 2.6000000000000001, 2.2000000000000002), u'empty')]
Displacement Force P3-x P3-y P1-x P1-y P4-x P4-y P2-x P2-y
0.000000000000000000e+00 -0.000000000000000000e+00 5.005627059936523438e+01 4.998717498779296875e+01 2.989291381835937500e+01 3.005372238159179688e+01 3.007398986816406250e+01 5.010810852050781250e+01 5.007854461669921875e+01 2.986358261108398438e+01
7.199999690055847168e-02 9.809363365173339844e+00 5.005700682225869969e+01 5.003216316923499107e+01 2.989223856042372063e+01 3.008083577081561089e+01 3.007339814945589751e+01 5.015324741601943970e+01 5.007905507687246427e+01 2.989018449932336807e+01
1.439999938011169434e-01 1.961872673034667969e+01 5.005774304515216500e+01 5.007715135067701340e+01 2.989156330248806626e+01 3.010794916003942490e+01 3.007280643074773252e+01 5.019838631153106689e+01 5.007956553704570979e+01 2.991678638756275177e+01
2.160000056028366089e-01 2.942809104919433594e+01 5.005847926810383797e+01 5.012213952839374542e+01 2.989088804461061954e+01 3.013506255298852921e+01 3.007221471203956753e+01 5.024352520704269409e+01 5.008007599716074765e+01 2.994338827580213547e+01
2.879999876022338867e-01 3.923745346069335938e+01 5.005921549093909562e+01 5.016712771356105804e+01 2.989021278661675751e+01 3.016217593848705292e+01 3.007162299333140254e+01 5.028866410255432129e+01 5.008058645739220083e+01 2.996999016404151917e+01
3.600000143051147461e-01 4.904681777954101562e+01 5.005995171400718391e+01 5.021211589872837067e+01 2.988953752885572612e+01 3.018928933143615723e+01 3.007103127450682223e+01 5.033380299806594849e+01 5.008109691762365401e+01 2.999659204483032227e+01
4.320000112056732178e-01 5.885618209838867188e+01 5.006068793684244156e+01 5.025710406899452209e+01 2.988886227086186409e+01 3.021640272438526154e+01 3.007043955591507256e+01 5.037894189357757568e+01 5.008160737762227654e+01 3.002319394052028656e+01
5.040000081062316895e-01 6.866554260253906250e+01 5.006142415991052985e+01 5.030209225416183472e+01 2.988818701310083270e+01 3.024351610243320465e+01 3.006984783709049225e+01 5.042408078908920288e+01 5.008211783785372972e+01 3.004979582130908966e+01
5.759999752044677734e-01 7.847490692138671875e+01 5.006216038251295686e+01 5.034708043932914734e+01 2.988751175487414002e+01 3.027062949538230896e+01 3.006925611849874258e+01 5.046921968460083008e+01 5.008262829808518291e+01 3.007639771699905396e+01
6.480000019073486328e-01 8.828427124023437500e+01 5.006289660558104515e+01 5.039206862449645996e+01 2.988683649711310863e+01 3.029774288833141327e+01 3.006866439990699291e+01 5.051435858011245728e+01 5.008313875831663609e+01 3.010299959778785706e+01
